Tiêu đề,Giá,Diện tích,Vị trí,Phòng
"Cần bán gấp trong tuần căn nhà 5 tầng Phú Lãm, Hà Đông full nội thất giá 4.7 tỷ, trung tâm phố Xốm","4,7 tỷ",30 m²,"Phú Lãm, Hà Đông",4
Bán nhà 75m2 ô tô đỗ cửa chỉ 15tỷ7 ngay trung tâm Hà Đông,"15,7 tỷ",75 m²,"Quang Trung, Hà Đông",3
Chính chủ gửi bán siêu phẩm 5 tầng thang máy siêu hiện đại - full nội thất đẳng cấp,"11,8 tỷ",46 m²,"Quang Trung, Hà Đông",5
"Nhà dòng tiền. CCMN 6 tầng, 50m2 Văn Quán, Hà Đông, Hà Nội. Giá đầu tư 9,2 tỷ. LH 0968 464 ***","9,2 tỷ",50 m²,"Văn Quán, Hà Đông",N/A
"Tôi cần bán gấp căn nhà 40m2x3,5tầng,gần QL6, BX Yên Nghĩa. Giá 3,25 tỷ. Lh: 0983 227 ***(A. Thanh)","3,25 tỷ",40 m²,"Đồng Mai, Hà Đông",4
Bán nhà Ngô Đình Mẫn hàng xóm ParkCity - ngõ thông - ở ngay 34m2 - 3.65 tỷ,"3,65 tỷ",34 m²,"La Khê, Hà Đông",3
"5 tầng thang máy - Lê Trọng Tấn - gần phố - hàng xóm ParkCity - 5 tầng 50m2, 8, x tỷ","8,5 tỷ",50 m²,"La Khê, Hà Đông",3
Nhà dân xây độc lập 2 thoáng vĩnh viễn 10m ra ô tô nằm ngay trục chính thông số vàng sổ vuông đét,"4,35 tỷ",35 m²,"Yên Nghĩa, Hà Đông",3
"Hot! Bán nhà mặt chợ Kđt Văn Quán, mặt chợ kinh doanh sầm uất dt 45m2 lô góc giá 9.6 tỷ - tặng nhà","9,6 tỷ",45 m²,"Văn Quán, Hà Đông",2
"Bán nhà Đa Sỹ, ngay gần phố, vài bước ô tô, giao thông thuận tiện các ngả pháp lý chuẩn 40m2 7 tỷ 3","7,3 tỷ",40 m²,"Kiến Hưng, Hà Đông",3
"Chính chủ bán nhà 48 ngõ 112 Trần Phú Hà Đôg, 46m2, 3T nhà 2 mặt tiền, ô tô vào nhà, hướng Đông Nam","10,2 tỷ",46 m²,"Mỗ Lao, Hà Đông",3
"Em Bán nhà phố Quang Trung. DT: 79 m2, kinh doanh đa nghề. Giá 16 tỷ",16 tỷ,79 m²,"Quang Trung, Hà Đông",3
"CẦN BÁN 83M2 KHU ĐÔ THỊ - VĂN KHÊ, LA KHÊ, HÀ ĐÔNG - PHÂN LÔ Ô TÔ TRÁNH - MẶT TIỀN 5M",18 tỷ,83 m²,"La Khê, Hà Đông",N/A
"Vạn Phúc Hà Đông 46m2, 4 tầng, lô góc 2 thoáng hơn 7 tỷ, gần ô tô, sát chợ","7,7 tỷ",46 m²,"Vạn Phúc, Hà Đông",4
"BÁN NHÀ PHỐ HUỲNH THÚC KHÁNG, HÀ ĐÔNG, 54M2 , 6.5 TẦNG THANG MÁY, 10PKK, DÒNG TIỀN 600TR/ NĂM","14,8 tỷ",54 m²,"Quang Trung, Hà Đông",10
Bán nhà 4 tầng ngõ rộng nhất Đa Sỹ Kiến Hưng Hà Đông chỉ 6.3 tỷ - 38m2,"6,3 tỷ",38 m²,"Kiến Hưng, Hà Đông",4
Quang Trung Hà Đông - 5 tầng thang máy vỉa hè KD gara oto - giá chỉ 11 tỷ nhỉnh TL tốt,11 tỷ,41 m²,"Quang Trung, Hà Đông",6
"Bán căn liền kề, xẻ khe, song lập Ocean City sổ đỏ 100m2, cạnh biển hồ, gần vincom, đường thông","19,5 tỷ",100 m²,"Gia Lâm, Hà Nội",N/A
Vị trí hiếm - ô tô vào nhà - kam kết giá tốt nhất Mỗ Lao - Văn Quán Hà Đông,"7,3 tỷ",35 m²,"Mỗ Lao, Hà Đông",N/A
Hiếm - chính chủ Vạn Phúc - 10 tỷ - thang máy - ô tô tránh - vỉa hè,10 tỷ,70 m²,"Vạn Phúc, Hà Đông",4
"Bán nhà gần chợ Hà Đông 54,2m2 dân xây 4 tầng rẻ nhất khu vực",8 tỷ,"54,2 m²","Hà Cầu, Hà Đông",4
