Tiêu đề,Giá,Diện tích,Vị trí,Phòng
"Chính chủ bán nhà riêng phố Trung Kính, Cầu Giấy, ô tô tránh, KD, 81m2 6T, giá 23 tỷ",23 tỷ,81 m²,"Trung Hòa, Cầu Giấy",5
"Bán nhà Cầu Giấy, lô góc 3 thoáng, 40m2, 6 tầng thang máy, ngõ thông, vị trí đẹp, 20m ra ôtô",Giá thỏa thuận,40 m²,"Dịch Vọng, Cầu Giấy",4
"Siêu phẩm Cầu Giấy mặt tiền 14m cực hiếm, lô góc 88m2 (DTTT 104m2) giá chỉ 23.8 tỷ","26,8 tỷ",88 m²,"Mai Dịch, Cầu Giấy",N/A
"Chính chủ cần bán nhà trung tâm Cầu Giấy, xây tâm huyết, KD phòng khám hoặc mở cty, spa đều được","34,8 tỷ",100 m²,"Nghĩa Đô, Cầu Giấy",15
BÁN TOÀ NHÀ CCMN XÂY MỚI Ô TÔ ĐỖ CỬA NGÕ THÔNG - DÒNG TIỀN 70 TRIỆU/ THÁNG,"14,88 tỷ",40 m²,·,10
"Chính chủ bán nhà ngõ 105/1/25 Doãn Kế Thiện, sát phố, dt 50m2 x 5 t, giá 9.2 tỷ","9,2 tỷ",50 m²,"Mai Dịch, Cầu Giấy",7
(Tin thật 100%). Bán CCMN lô góc 50m2 x 11CH tại Quan Hoa - Dòng tiền 800 triệu/năm - Nhà gần phố,"12,5 tỷ",50 m²,"Quan Hoa, Cầu Giấy",11
"Chính chủ bán nhà riêng 5PN, 4WC, 40m2 tại trung tâm Cầu Giấy, giá siêu hời chỉ với 9,8 tỷ","9,8 tỷ",40 m²,"Quan Hoa, Cầu Giấy",5
"Bán nhà phố Lạc Long Quân, lô góc 2 mặt ô tô, thang máy, ô tô tránh, sổ hoa hậu, 72m2, 21,5tỷ","21,5 tỷ",72 m²,"Nghĩa Đô, Cầu Giấy",5
"Chính chủ cần bán nhà mặt đường to Phạm Thận Duật, Mai Dịch, Cầu Giấy, sân rộng để ô tô thoải mái",Giá thỏa thuận,50 m²,"Mai Dịch, Cầu Giấy",N/A
"CẦU GIẤY, 34/38M2 T2, 4 TẦNG, MT: 3.5M 7.150 TỶ","7,15 tỷ",34 m²,·,3
"Phân lô vip ngay KĐT Yên Hoà, Lão Thành Cách Mạng, Trung Kính 77m2 x 5 tầng - MT 5.5m - 28.3 tỷ","28,3 tỷ",77 m²,"Yên Hòa, Cầu Giấy",N/A
"CC bán nhà phân lô Trung Hòa, Cầu Giấy, ôtô tránh, vỉa hè, 68m2, MT 5.5m, 8 tầng thang máy, 1 hầm","31,2 tỷ",68 m²,"Trung Hòa, Cầu Giấy",9
"CC cần tiền bán gấp nhà ngõ 245 Lạc Long Quân, Nghĩa Đô, Cầu Giấy, 11,2 tỷ, 69m2 LH: 0912 256 ***","11,2 tỷ",69 m²,"Nghĩa Đô, Cầu Giấy",5
"Bán nhà phố Trung Hoà, Xuân Quỳnh, thang máy, đường 3 ôtô tránh, vỉa hè, gần CV Yên Hoà. DT 82m2*5T",31 tỷ,82 m²,"Yên Hòa, Cầu Giấy",N/A
"Biệt thự sở hữu tầm view tỷ $ - hàng xóm phố cổ - 190m2, 26.5 tỷ - Pháp lý chuẩn - sạch QH","26,5 tỷ",190 m²,"Long Biên, Hà Nội",N/A
"Nhà phố Hoàng Quốc Việt, chỉ nhỉnh 20 tỷ: 143m2 gần ngã 4 Nguyễn Văn Huyên-MTR 12m-ôtô đỗ cửa-KDSU",Giá thỏa thuận,143 m²,"Nghĩa Đô, Cầu Giấy",N/A
"Giá tốt, phố Phạm Tuấn Tài 58m2 x 5 tầng, chỉ 16 tỷ. Có TL",16 tỷ,58 m²,"Nghĩa Tân, Cầu Giấy",8
Bán tòa nhà văn phòng phố vip Trần Duy Hưng - Trung Hoà 8 tầng thang máy thông sàn 100m2 48.3 tỷ,"48,3 tỷ",100 m²,"Trung Hòa, Cầu Giấy",N/A
"Nhà thang máy - DT 32m2 - Giá 7,79 tỷ - Ngay công viên Yên Hòa - Cầu Giấy, ô tô đỗ gần","7,79 tỷ",32 m²,"Yên Hòa, Cầu Giấy",4
Chính chủ cần bán gấp tòa nhà 8 tầng thang máy phố Nguyễn Khánh Toàn full nội thất giá 19 tỷ,19 tỷ,56 m²,"Quan Hoa, Cầu Giấy",4
