Tiêu đề,Giá,Diện tích,Vị trí,Phòng
Rẻ nhất Phú Xá - Phú Thượng - Tây Hồ - 30m ra đường thông 2 ô tô tránh nhau,"5,9 tỷ",30 m²,"Phú Thượng, Tây Hồ",3
"Bán toà nhà 8 tầng giá hơn chục tỷ ở Hồ Tây có thang máy, cách Hồ 20m, sân thượng","12,8 tỷ","59,7 m²","Yên Phụ, Tây Hồ",5
"Bán nhà mặt ngõ thông kinh doanh Phú Thượng, Tây Hồ, nhà 7 tầng thang máy 42,5m2 lô góc giá 9,x tỷ","9,9 tỷ","42,5 m²","Phú Thượng, Tây Hồ",5
"Bán toà căn hộ dòng tiền (CCMN) ô góc mặt ngõ Võng Thị 40m2 x 7T, MT 6m, CT 70/tr/th","17,8 tỷ",40 m²,"Thụy Khuê, Tây Hồ",11
"Bán nhà 5 tầng tại Phú Thượng, Tây Hồ, vỉa hè 2 bên xe tải tránh nhau, 73,8m2, giá chỉ 22 tỷ",22 tỷ,"73,8 m²","Phú Thượng, Tây Hồ",3
Bán tòa nhà căn hộ 8 tầng căn góc phố Âu Cơ ngã 3 Xuân Diệu view Hồ Tây đường 6m 33 tỷ,33 tỷ,120 m²,"Quảng An, Tây Hồ",23
"Bán nhà Lạc Long Quân, Tây Hồ, mặt ngõ thông tứ tung, rộng rãi ba góc đua, mấy bước chân ra hồ Tây","10,5 tỷ",60 m²,"Xuân La, Tây Hồ",2
"Bán nhà Phú Gia - Phú Thượng Tây Hồ - Ô tô vào nhà - Xây mới 7 tầng. Diện tích 42,8m2 - nhà xây 1T","9,9 tỷ","42,8 m²","Phú Thượng, Tây Hồ",6
"Siêu Hot! Ô tô đỗ cửa 30m ra Võ Chí Công, 12 tỷ, 40m2, 5 tầng, KD, cho thuê. Chính chủ giá cực chất",12 tỷ,40 m²,"Xuân La, Tây Hồ",6
"Bán nhà dân ở Phú Thượng - Tây Hồ - 45m2, 4 tầng - MT rộng - Cầu thang giữa - Gần phố","8,1 tỷ",45 m²,"Phú Thượng, Tây Hồ",4
"Bán nhà đất ngõ xe tải Tây Hồ rộng 340m - Mặt tiền 20m - giá 22.75 tỷ, GPXD 9T CCMN, cách hồ 300m","22,75 tỷ",340 m²,"Tứ Liên, Tây Hồ",3
"Biệt thự sở hữu tầm view tỷ $ - hàng xóm phố cổ - 190m2, 26.5 tỷ - Pháp lý chuẩn - sạch QH","26,5 tỷ",190 m²,"Long Biên, Hà Nội",N/A
"Bán tòa Apartment Võng Thị, 8 tầng thang máy, dân xây, 63m2, view Hồ Tây, 12 phòng. Bấm ngay","15,5 tỷ",63 m²,"Thụy Khuê, Tây Hồ",12
"Bán nhà ngõ 77 Xuân La, Tây Hồ, 6 tầng 38m2 - Mỗi tầng 1 phòng, có thang máy, có nội thất, 8,x tỷ","8,8 tỷ",38 m²,"Xuân La, Tây Hồ",4
"Bán nhà phố Yên Phụ, Tây Hồ, biệt thự sân vườn, 3 tầng, mặt tiền 9m, diện tích 164m2(thực tế 170m2)","48,5 tỷ",164 m²,"Yên Phụ, Tây Hồ",6
"Bán nhà Lạc Long Quân - Tây Hồ: Thang máy, ở ngay, kinh doanh, ngõ thông, gara 7 chỗ, 20m mặt phố","30,95 tỷ",75 m²,"Phú Thượng, Tây Hồ",10
"Bán toà căn hộ dịch vụ 36 phòng Lạc Long Quân, Tây Hồ, DT 200m2, 7T, MT 8m, 45 tỷ, LH 0366 221 ***",45 tỷ,200 m²,"Bưởi, Tây Hồ",N/A
"(Ảnh thật) Tôi cần bán gấp nhà mới phân lô 7 tầng thang máy - Ngõ rộng ô tô vào, view sân chơi",16 tỷ,65 m²,"Phú Thượng, Tây Hồ",8
"Duy nhất 1 căn 8,1tỷ tại Phú Gia, Phú Thượng, Tây Hồ, 45m2 4 tầng dân xây MT 4.2m ôtô đỗ cách 1 nhà","8,1 tỷ",45 m²,"Phú Thượng, Tây Hồ",4
Tòa căn hộ tại phố Tây Tô Ngọc Vân 9 tầng dòng tiền 450 triệu/tháng,91 tỷ,162 m²,"Quảng An, Tây Hồ",N/A
"Bán toà nhà căn hộ 10 tầng diện tích 101m2 mặt tiền 8m full nội thất cao cấp khu phố Tây Hồ, Hà Nội",66 tỷ,101 m²,"Quảng An, Tây Hồ",16
