Tiêu đề,Giá,Diện tích,Vị trí,Phòng
"Bán nhà phân lô Kim Giang, Thanh Xuân, 41m2, 6 tầng thông sàn, giá 13.5 tỷ","13,5 tỷ",41 m²,"Khương Đình, Thanh Xuân",N/A
"Bán nhà Hoàng Ngân lô góc 5 tầng dân xây 34m2 ngõ to thoáng sạch, mặt tiền 4m giá nhỉnh 7 tỷ","7,35 tỷ",34 m²,"Nhân Chính, Thanh Xuân",4
Bán nhà đẹp - Hoàng Văn Thái - 43m2 - sát phố - gần ĐH Y & Bệnh viện Bạch Mai,"9,8 tỷ",43 m²,"Khương Mai, Thanh Xuân",4
"Chỉ 23.5 tỷ nhà phố Cự Lộc - Thanh Xuân, 69m2x9T - Lô góc kinh doanh - Ô tô tránh - DT 95tr/tháng","23,5 tỷ",69 m²,"Thượng Đình, Thanh Xuân",13
"Bán chung cư mini, 15.5 tỷ, 58.2m2, 14PN, 15WC tại tổ 19, Khương trung , Thanh Xuân, Hà Nội","15,5 tỷ","58,2 m²","Nhân Chính, Thanh Xuân",14
Ô tô vào nhà Nguyễn Văn Trỗi Thanh Xuân - 94m2 nhỉnh 15 tỷ - vừa ở vừa kinh doanh cực tốt,"15,9 tỷ",94 m²,"Phương Liệt, Thanh Xuân",8
Chào bán tòa nhà 9 tầng cao cấp diện tích rộng tại đường giải phóng thanh xuân hà nội,30 tỷ,"86,8 m²","Phương Liệt, Thanh Xuân",5
"Cực sốc - bán gấp căn nhà 4T - DT 56m2 - giá cực tốt ở Thượng Đình, sổ riêng biệt","7,05 tỷ",56 m²,"Thượng Đình, Thanh Xuân",3
"Bán toà CHDV, Vương Thừa Vũ, 6T thang máy, 10 phòng full đồ, DT 60tr/tháng, 100% ảnh thật","12,8 tỷ",50 m²,"Khương Trung, Thanh Xuân",10
"Chính chủ bán nhà ngõ 29 Khương Hạ - Thanh Xuân 6 tầng thang máy. Diện tích 48m2, 6 tầng","15,9 tỷ",48 m²,"Khương Đình, Thanh Xuân",4
"Giá đầu tư! Phân lô Vương Thừa Vũ, 4 tầng lô góc, ô tô tránh, DT 80m2, giá 16.8 tỷ","16,8 tỷ",80 m²,"Khương Trung, Thanh Xuân",N/A
"Bán nhà Bùi Xương Trạch, Thanh Xuân, ngõ nông, 4 tầng, 50m2, giá rẻ, cạnh Ngã Tư Sở, Royal City","9,3 tỷ",50 m²,"Khương Đình, Thanh Xuân",N/A
"Bán nhà lô góc phố Hoàng Ngân, quận Thanh Xuân 33m2 x 4 tầng ngõ thông KD ô tô gần phố giá 7,25 tỷ","7,25 tỷ",33 m²,"Nhân Chính, Thanh Xuân",3
"Bán nhà riêng, khu vực phân lô, DT60m2, MT4.6m Đường Phương Liệt. Gara, Thang máy NK","24,8 tỷ",60 m²,"Thanh Xuân, Hà Nội",5
Quan Nhân - 30m2 - nhà mới - đầu tư - gần phố - kinh doanh - sau qh ra mặt phố 30m - giá: 7 tỷ,8 tỷ,30 m²,"Nhân Chính, Thanh Xuân",4
"Bán nhà riêng tại Giải Phóng, Phương Liệt, Thanh Xuân, Hà Nội, 13 tỷ, 50m2, gara ô tô giá đẹp",13 tỷ,50 m²,"Phương Liệt, Thanh Xuân",6
"Bán gấp nhà, rẻ nhất Thanh Xuân, 50m2 3 tầng 8,1 tỷ, ngõ rộng, trước nhà ô tô, hàng xóm Royal City","8,1 tỷ",50 m²,"Nhân Chính, Thanh Xuân",2
Quá hiếm-phố Quan Nhân-ô tô đỗ cửa-ngõ thông-kinh doanh-dt 50m2 nhỉnh 12 tỷ-nhà đẹp-nội thất xịn,"12,7 tỷ",50 m²,"Nhân Chính, Thanh Xuân",4
Phân lô Bộ Công An - Gara ô tô - Thang máy chạy vù vù 6 tầng - 50m2 nhỉnh 16 tỷ,"16,5 tỷ",50 m²,"Khương Đình, Thanh Xuân",3
"CC nằm trong ngõ thông, KD sầm uất, ô tô vào nhà, 7 tầng mới đẹp, full nội thất xịn xò","25,9 tỷ",86 m²,"Khương Trung, Thanh Xuân",16
"Hot! Phân lô ô tô tránh Lê Trọng Tấn, 5 tầng lô góc, DT 95m2, MT 5.3m, giá 26.5 tỷ","26,5 tỷ",95 m²,"Khương Mai, Thanh Xuân",N/A
