Giá,Diện tích,Vị trí,Phòng
"8,5 tỷ",50 m²,"Liễu Giai, Ba Đình",5
"8,8 tỷ",43 m²,"Kim Mã, Ba Đình",5
,,,N/A
"15,9 tỷ",90 m²,"Long Biên, Hà Nội",4
"16,3 tỷ",56 m²,"Ba Đình, Hà Nội",N/A
17 tỷ,55 m²,"Cống Vị, Ba Đình",4
"9,5 tỷ",80 m²,"Liễu Giai, Ba Đình",4
"15,5 tỷ",55 m²,"Ngọc Hà, Ba Đình",5
Giá thỏa thuận,70 m²,"Kim Mã, Ba Đình",4
"5,5 tỷ",38 m²,"Ngọc Hà, Ba Đình",2
"21,5 tỷ",70 m²,·,20
"8,6 tỷ",41 m²,"Ngọc Hà, Ba Đình",4
Giá thỏa thuận,120 m²,"Ngọc Hà, Ba Đình",5
"10,9 tỷ",58 m²,"Ngọc Khánh, Ba Đình",5
"12,99 tỷ",56 m²,"Ngọc Khánh, Ba Đình",4
"95,75 tỷ",383 m²,"Cống Vị, Ba Đình",N/A
"13,8 tỷ",38 m²,"Ngọc Khánh, Ba Đình",4
"9,5 tỷ",·37 m²,"Ngọc Hà, Ba Đình",N/A
"16,5 tỷ",55 m²,"Cống Vị, Ba Đình",7
"22,9 tỷ",·89 m²,"Kim Mã, Ba Đình",N/A
"10,8 tỷ",·47 m²,"Liễu Giai, Ba Đình",N/A
48 tỷ,125 m²,"Giảng Võ, Ba Đình",4
22 tỷ,60 m²,"Thành Công, Ba Đình",N/A
9 tỷ,42 m²,"Đội Cấn, Ba Đình",N/A
"12,9 tỷ",42 m²,·,10
32 tỷ,"69,3 m²","Ngọc Khánh, Ba Đình",10
