Giá,Diện tích,Vị trí,Phòng
"1,9 tỷ",135 m²,"Vân Hòa, Ba Vì",1
"4,2 tỷ",252 m²,"Yên Bài, Ba Vì",2
"1,85 tỷ","98,5 m²","Khánh Thượng, Ba Vì",3
Giá thỏa thuận,500 m²,"Ba Trại, Ba Vì",N/A
"2,85 tỷ",270 m²,"Cẩm Lĩnh, Ba Vì",N/A
"36,5 tỷ",156 m²,"Tây Hồ, Hà Nội",5
"4,59 tỷ","611,9 m²","Vân Hòa, Ba Vì",N/A
2 tỷ,175 m²,"Vân Hòa, Ba Vì",1
150 tỷ,400 m²,"Đống Đa, Hà Nội",N/A
Giá thỏa thuận,270 m²,"Cẩm Lĩnh, Ba Vì",3
"2,5 tỷ",135 m²,"Vân Hòa, Ba Vì",3
"3,7 tỷ",480 m²,"Khánh Thượng, Ba Vì",2
"1,25 tỷ",50 m²,"Cam Thượng, Ba Vì",N/A
"4,6 tỷ",1.048 m²,"Tản Lĩnh, Ba Vì",2
"4,3 tỷ","611,9 m²","Vân Hòa, Ba Vì",3
"3,5 tỷ","·561,8 m²","Vân Hòa, Ba Vì",N/A
"3,5 tỷ","561,8 m²","Vân Hòa, Ba Vì",3
"2,4 tỷ",710 m²,"Khánh Thượng, Ba Vì",2
"2,3 tỷ",135 m²,"Vân Hòa, Ba Vì",2
"4,1 tỷ",612 m²,"Vân Hòa, Ba Vì",N/A
3 tỷ,320 m²,"Cẩm Lĩnh, Ba Vì",4
"3,3 tỷ","561,8 m²","Vân Hòa, Ba Vì",3
