Giá,Diện tích,Vị trí,Phòng
"17,5 tỷ",50 m²,"Xuân Đỉnh, Bắc Từ Liêm",N/A
,,,N/A
10 tỷ,"58,5 m²","Phú Diễn, Bắc Từ Liêm",9
"11,9 tỷ",·30 m²,"Phú Diễn, Bắc Từ Liêm",N/A
25 tỷ,108 m²,"Xuân Đỉnh, Bắc Từ Liêm",19
"4,95 tỷ",·32 m²,"Thụy Phương, Bắc Từ Liêm",N/A
"6,65 tỷ",39 m²,"Xuân Đỉnh, Bắc Từ Liêm",3
"8,9 tỷ",38 m²,"Xuân Đỉnh, Bắc Từ Liêm",9
"25,8 tỷ",112 m²,"Phúc Diễn, Bắc Từ Liêm",N/A
"6,2 tỷ",62 m²,"Thụy Phương, Bắc Từ Liêm",3
"7,6 tỷ",35 m²,"Xuân Đỉnh, Bắc Từ Liêm",3
"10,6 tỷ",60 m²,"Phúc Diễn, Bắc Từ Liêm",10
"6,65 tỷ",40 m²,"Xuân Đỉnh, Bắc Từ Liêm",3
Giá thỏa thuận,"30,7 m²","Thụy Phương, Bắc Từ Liêm",N/A
26 tỷ,105 m²,"Xuân Đỉnh, Bắc Từ Liêm",5
"8,6 tỷ",52 m²,"Đức Thắng, Bắc Từ Liêm",4
"16,9 tỷ",60 m²,"Xuân Đỉnh, Bắc Từ Liêm",17
"11,5 tỷ",40 m²,"Tây Hồ, Hà Nội",6
"4,8 tỷ",31 m²,"Phú Diễn, Bắc Từ Liêm",4
"13,5 tỷ",66 m²,"Cổ Nhuế 1, Bắc Từ Liêm",14
"12,8 tỷ","52,5 m²","Cổ Nhuế 2, Bắc Từ Liêm",6
"15,5 tỷ","55,6 m²","Xuân Đỉnh, Bắc Từ Liêm",4
"16,8 tỷ",60 m²,"Xuân Đỉnh, Bắc Từ Liêm",10
"7,1 tỷ",33 m²,·,4
"5,5 tỷ",35 m²,"Bắc Từ Liêm, Hà Nội",4
"15,4 tỷ",·54 m²,"Xuân Đỉnh, Bắc Từ Liêm",N/A
