Giá,Diện tích,Vị trí,Phòng
"17,9 tỷ",65 m²,·,4
"18,1 tỷ",·70 m²,"Mai Dịch, Cầu Giấy",N/A
,,,N/A
"7,3 tỷ",30 m²,"Yên Hòa, Cầu Giấy",3
34 tỷ,101 m²,"Nghĩa Đô, Cầu Giấy",4
"31,5 tỷ",130 m²,"Quan Hoa, Cầu Giấy",4
"6,6 tỷ",·30 m²,"Mai Dịch, Cầu Giấy",N/A
"16,9 tỷ",115 m²,"Dịch Vọng, Cầu Giấy",4
17 tỷ,80 m²,"Dịch Vọng, Cầu Giấy",4
"19,5 tỷ",·48 m²,"Nghĩa Đô, Cầu Giấy",N/A
Giá thỏa thuận,135 m²,"Cầu Giấy, Hà Nội",24
"12,9 tỷ",73 m²,"Dịch Vọng, Cầu Giấy",16
"10,3 tỷ",45 m²,"Dịch Vọng Hậu, Cầu Giấy",N/A
"26,8 tỷ",88 m²,"Mai Dịch, Cầu Giấy",N/A
15 tỷ,76 m²,"Nghĩa Tân, Cầu Giấy",N/A
"9,9 tỷ",45 m²,"Dịch Vọng Hậu, Cầu Giấy",4
"8,65 tỷ",34 m²,·,3
"17,5 tỷ",88 m²,"Dịch Vọng, Cầu Giấy",N/A
"23,8 tỷ","75,4 m²",·,16
12 tỷ,40 m²,"Yên Hòa, Cầu Giấy",9
"10,9 tỷ",69 m²,"Nghĩa Đô, Cầu Giấy",5
107 tỷ,130 m²,"Dịch Vọng, Cầu Giấy",12
"9,3 tỷ",40 m²,"Quan Hoa, Cầu Giấy",4
"8,5 tỷ",35 m²,"Yên Hòa, Cầu Giấy",4
"17,5 tỷ",50 m²,"Yên Hòa, Cầu Giấy",6
