Giá,Diện tích,Vị trí,Phòng
,,,N/A
"3,49 tỷ",63 m²,"Phụng Châu, Chương Mỹ",3
"3,15 tỷ",52 m²,"Phụng Châu, Chương Mỹ",4
"2,75 tỷ",33 m²,"Phụng Châu, Chương Mỹ",4
"4,3 tỷ",36 m²,"Phụng Châu, Chương Mỹ",3
Giá thỏa thuận,35 m²,"Phụng Châu, Chương Mỹ",3
"2,85 tỷ",32 m²,"Phụng Châu, Chương Mỹ",3
"2,75 tỷ",32 m²,"Phụng Châu, Chương Mỹ",N/A
"2,5 tỷ",35 m²,"Phụng Châu, Chương Mỹ",3
150 tỷ,400 m²,"Đống Đa, Hà Nội",N/A
"2,75 tỷ",32 m²,"Phụng Châu, Chương Mỹ",3
"2,69 tỷ",40 m²,"Chúc Sơn, Chương Mỹ",4
"3,3 tỷ",·51 m²,"Phụng Châu, Chương Mỹ",N/A
"2,45 tỷ",35 m²,"Phụng Châu, Chương Mỹ",4
"3,58 tỷ","33,1 m²","Phụng Châu, Chương Mỹ",4
"2,8 tỷ",32 m²,"Phụng Châu, Chương Mỹ",N/A
"2,5 tỷ",31 m²,"Phụng Châu, Chương Mỹ",3
"2,5 tỷ",35 m²,"Phụng Châu, Chương Mỹ",4
"2,9 tỷ",35 m²,"Phụng Châu, Chương Mỹ",4
"2,39 tỷ",36 m²,"Phụng Châu, Chương Mỹ",3
"2,65 tỷ","33,1 m²","Phụng Châu, Chương Mỹ",3
"6,2 tỷ",70 m²,"Phụng Châu, Chương Mỹ",5
"5,5 tỷ",·411 m²,"Thuỷ Xuân Tiên, Chương Mỹ",N/A
"3,5 tỷ",·78 m²,"Hợp Đồng, Chương Mỹ",N/A
"2,6 tỷ",35 m²,"Phụng Châu, Chương Mỹ",N/A
