Giá,Diện tích,Vị trí,Phòng
"4,7 tỷ",·39 m²,"Liên Trung, Đan Phượng",N/A
"4,7 tỷ",50 m²,"Tân Lập, Đan Phượng",N/A
,,,N/A
"4,5 tỷ",50 m²,"Tân Lập, Đan Phượng",N/A
"4,4 tỷ",34 m²,"Tân Lập, Đan Phượng",3
"5,5 tỷ",42 m²,"Tân Lập, Đan Phượng",5
"7,23 tỷ","43,3 m²","Tân Lập, Đan Phượng",4
"36,5 tỷ",156 m²,"Tây Hồ, Hà Nội",5
"3,7 tỷ",32 m²,"Phùng, Đan Phượng",3
150 tỷ,400 m²,"Đống Đa, Hà Nội",N/A
Giá thỏa thuận,"55,2 m²","Tân Hội, Đan Phượng",N/A
"3,75 tỷ",32 m²,"Tân Lập, Đan Phượng",3
"3,9 tỷ",31 m²,"Tân Lập, Đan Phượng",3
"5,8 tỷ",45 m²,"Tân Hội, Đan Phượng",6
"7,23 tỷ","·43,3 m²","Tân Lập, Đan Phượng",N/A
"4,7 tỷ",39 m²,"Liên Trung, Đan Phượng",4
"5,27 tỷ",59 m²,"Tân Hội, Đan Phượng",N/A
"16,5 tỷ","113,4 m²","Đan Phượng, Đan Phượng",8
"4,6 tỷ",41 m²,"Liên Trung, Đan Phượng",4
"4,5 tỷ",31 m²,"Tân Lập, Đan Phượng",3
"4,6 tỷ",40 m²,"Liên Trung, Đan Phượng",5
"4,5 tỷ",30 m²,"Tân Hội, Đan Phượng",3
11 tỷ,107 m²,"Phùng, Đan Phượng",N/A
"3,9 tỷ",·31 m²,"Tân Lập, Đan Phượng",N/A
Giá thỏa thuận,"54,5 m²","Đồng Tháp, Đan Phượng",4
Giá thỏa thuận,55 m²,"Tân Hội, Đan Phượng",3
