Giá,Diện tích,Vị trí,Phòng
"10,5 tỷ",·112 m²,"Nguyên Khê, Đông Anh",N/A
,,,N/A
"5,6 tỷ",93 m²,"Hải Bối, Đông Anh",3
"15,9 tỷ",90 m²,"Long Biên, Hà Nội",4
"8,5 tỷ",78 m²,"Nam Hồng, Đông Anh",N/A
"6,31 tỷ",76 m²,"Mai Lâm, Đông Anh",2
"15,36 tỷ",192 m²,"Thụy Lâm, Đông Anh",7
"4,4 tỷ","36,5 m²","Nguyên Khê, Đông Anh",N/A
16 tỷ,113 m²,"Tiên Dương, Đông Anh",3
"7,1 tỷ",100 m²,"Vân Nội, Đông Anh",4
"4,2 tỷ",58 m²,"Nguyên Khê, Đông Anh",3
"6,3 tỷ",·100 m²,"Nguyên Khê, Đông Anh",N/A
7 tỷ,"88,5 m²","Mai Lâm, Đông Anh",4
"8,2 tỷ",52 m²,"Vĩnh Ngọc, Đông Anh",6
Giá thỏa thuận,70 m²,"Đông Anh, Hà Nội",N/A
"6,3 tỷ",100 m²,"Nguyên Khê, Đông Anh",5
"8,16 tỷ",51 m²,"Vĩnh Ngọc, Đông Anh",6
"7,08 tỷ",120 m²,"Vân Hà, Đông Anh",N/A
"4,6 tỷ",45 m²,"Mai Lâm, Đông Anh",3
Giá thỏa thuận,102 m²,"Tiên Dương, Đông Anh",4
"6,79 tỷ","56,25 m²","Đông Anh, Đông Anh",3
"8,2 tỷ",51 m²,"Vĩnh Ngọc, Đông Anh",4
"3,95 tỷ",60 m²,"Việt Hùng, Đông Anh",2
"9,79 tỷ",110 m²,"Uy Nỗ, Đông Anh",N/A
"6,2 tỷ","88,5 m²","Mai Lâm, Đông Anh",N/A
