Giá,Diện tích,Vị trí,Phòng
"11,8 tỷ",·52 m²,"Khâm Thiên, Đống Đa",N/A
"15,6 tỷ",72 m²,"Ô Chợ Dừa, Đống Đa",17
25 tỷ,"70,7 m²",·,20
"7,35 tỷ",40 m²,"Ô Chợ Dừa, Đống Đa",4
"11,4 tỷ",46 m²,"Nam Đồng, Đống Đa",4
20 tỷ,60 m²,"Văn Miếu - Quốc Tử Giám, Đống Đa",4
"12,9 tỷ",66 m²,"Láng Hạ, Đống Đa",7
,,,N/A
"19,8 tỷ",148 m²,"Thịnh Quang, Đống Đa",7
19 tỷ,·64 m²,"Văn Chương, Đống Đa",N/A
"22,5 tỷ",82 m²,"Ô Chợ Dừa, Đống Đa",19
"7,5 tỷ","·49,4 m²","Ô Chợ Dừa, Đống Đa",N/A
"7,5 tỷ","49,4 m²","Ô Chợ Dừa, Đống Đa",3
"22,8 tỷ",66 m²,"Ô Chợ Dừa, Đống Đa",6
"7,5 tỷ",35 m²,"Ô Chợ Dừa, Đống Đa",3
"8,5 tỷ",38 m²,"Kim Liên, Đống Đa",4
"17,5 tỷ","33,5 m²","Văn Chương, Đống Đa",N/A
15 tỷ,50 m²,"Láng Hạ, Đống Đa",6
23 tỷ,60 m²,"Ô Chợ Dừa, Đống Đa",N/A
18 tỷ,"49,2 m²","Trung Liệt, Đống Đa",N/A
"30,5 tỷ","98,5 m²","Khương Thượng, Đống Đa",3
"15,9 tỷ",42 m²,·,3
"8,8 tỷ",37 m²,"Ô Chợ Dừa, Đống Đa",3
Giá thỏa thuận,40 m²,·,3
57 tỷ,135 m²,"Đống Đa, Hà Nội",40
