Giá,Diện tích,Vị trí,Phòng
"3,89 tỷ","70,3 m²","Dương Quang, Gia Lâm",3
"13,9 tỷ",200 m²,"Gia Lâm, Hà Nội",4
"5,2 tỷ",50 m²,"Kiêu Kỵ, Gia Lâm",3
"15,9 tỷ",90 m²,"Long Biên, Hà Nội",4
"6,6 tỷ",83 m²,"Cổ Bi, Gia Lâm",N/A
"6,6 tỷ",35 m²,"Trâu Quỳ, Gia Lâm",3
"11,5 tỷ",69 m²,"Trâu Quỳ, Gia Lâm",1
"5,63 tỷ",75 m²,"Ninh Hiệp, Gia Lâm",3
23 tỷ,162 m²,"Ninh Hiệp, Gia Lâm",3
"4,85 tỷ",70 m²,"Xã Yên Viên, Gia Lâm",3
"15,88 tỷ",100 m²,"Trâu Quỳ, Gia Lâm",N/A
26 tỷ,500 m²,"Yên Viên, Gia Lâm",N/A
"8,5 tỷ",135 m²,"Cổ Bi, Gia Lâm",1
"3,99 tỷ",40 m²,"Yên Viên, Gia Lâm",1
Giá thỏa thuận,40 m²,"Đa Tốn, Gia Lâm",N/A
"4,8 tỷ",59 m²,"Ninh Hiệp, Gia Lâm",3
"5,65 tỷ","48,3 m²","Trâu Quỳ, Gia Lâm",3
"16,8 tỷ",72 m²,"Trâu Quỳ, Gia Lâm",N/A
"7,5 tỷ",56 m²,"Yên Thường, Gia Lâm",3
"2,35 tỷ",34 m²,"Yên Viên, Gia Lâm",N/A
14 tỷ,83 m²,"Ninh Hiệp, Gia Lâm",4
Giá thỏa thuận,100 m²,"Trâu Quỳ, Gia Lâm",7
