Giá,Diện tích,Vị trí,Phòng
"9,1 tỷ",46 m²,"Vạn Phúc, Hà Đông",3
"3,6 tỷ",38 m²,"Yên Nghĩa, Hà Đông",4
"7,9 tỷ",45 m²,"Quang Trung, Hà Đông",4
,,,N/A
"11,45 tỷ",54 m²,"Phúc La, Hà Đông",4
Giá thỏa thuận,50 m²,"Vạn Phúc, Hà Đông",N/A
9 tỷ,42 m²,"Hà Đông, Hà Nội",6
"3,15 tỷ",32 m²,"Đồng Mai, Hà Đông",3
"6,5 tỷ",32 m²,"Mỗ Lao, Hà Đông",3
15 tỷ,45 m²,"Hà Cầu, Hà Đông",3
"7,5 tỷ",30 m²,"Vạn Phúc, Hà Đông",3
"17,8 tỷ",55 m²,"Vạn Phúc, Hà Đông",N/A
"11,6 tỷ",55 m²,"Kiến Hưng, Hà Đông",4
"8,19 tỷ",46 m²,"Kiến Hưng, Hà Đông",N/A
"5,6 tỷ","33,2 m²","Phú Lãm, Hà Đông",6
"13,35 tỷ",·50 m²,"Dương Nội, Hà Đông",N/A
"17,22 tỷ","70,3 m²",·,5
"13,94 tỷ",60 m²,"Kiến Hưng, Hà Đông",6
Giá thỏa thuận,"50,5 m²","Dương Nội, Hà Đông",N/A
"12,54 tỷ",60 m²,"Mỗ Lao, Hà Đông",4
"6,23 tỷ",38 m²,"Kiến Hưng, Hà Đông",4
13 tỷ,50 m²,"Phú La, Hà Đông",4
"14,1 tỷ",45 m²,"Văn Quán, Hà Đông",4
"11,95 tỷ",·50 m²,"Phúc La, Hà Đông",N/A
"8,7 tỷ",54 m²,"Hà Đông, Hà Nội",1
"10,18 tỷ",·37 m²,"Hà Cầu, Hà Đông",N/A
