Giá,Diện tích,Vị trí,Phòng
"10,88 tỷ",43 m²,"Vĩnh Tuy, Hai Bà Trưng",4
Giá thỏa thuận,60 m²,"Minh Khai, Hai Bà Trưng",N/A
,,,N/A
"8,5 tỷ",43 m²,"Trương Định, Hai Bà Trưng",5
"5,7 tỷ",·30 m²,"Vĩnh Tuy, Hai Bà Trưng",N/A
"6,8 tỷ",38 m²,"Minh Khai, Hai Bà Trưng",4
"14,8 tỷ",52 m²,"Bạch Mai, Hai Bà Trưng",N/A
"15,9 tỷ",90 m²,"Long Biên, Hà Nội",4
"5,7 tỷ",30 m²,"Thanh Nhàn, Hai Bà Trưng",3
"8,6 tỷ",39 m²,"Bạch Mai, Hai Bà Trưng",4
"8,4 tỷ",45 m²,"Trương Định, Hai Bà Trưng",4
"17,3 tỷ","41,6 m²","Lê Đại Hành, Hai Bà Trưng",3
"14,9 tỷ",55 m²,"Thanh Lương, Hai Bà Trưng",N/A
"7,5 tỷ",40 m²,"Đồng Tâm, Hai Bà Trưng",4
"5,65 tỷ",30 m²,"Đồng Nhân, Hai Bà Trưng",3
"14,5 tỷ",43 m²,"Bạch Mai, Hai Bà Trưng",5
"6,68 tỷ",36 m²,"Thanh Nhàn, Hai Bà Trưng",3
"21,9 tỷ",·52 m²,"Phố Huế, Hai Bà Trưng",N/A
"5,7 tỷ",30 m²,"Vĩnh Tuy, Hai Bà Trưng",3
"7,5 tỷ",·39 m²,"Vĩnh Tuy, Hai Bà Trưng",N/A
Giá thỏa thuận,64 m²,"Thanh Nhàn, Hai Bà Trưng",2
"8,5 tỷ",135 m²,"Gia Lâm, Hà Nội",1
21 tỷ,"61,2 m²",·,1
"6,3 tỷ",33 m²,"Thanh Lương, Hai Bà Trưng",3
"8,25 tỷ",60 m²,"Bạch Đằng, Hai Bà Trưng",3
"15,5 tỷ",80 m²,"Đồng Nhân, Hai Bà Trưng",2
