Giá,Diện tích,Vị trí,Phòng
"3,75 tỷ","30,1 m²","An Khánh, Hoài Đức",4
"13,72 tỷ",98 m²,"Song Phương, Hoài Đức",N/A
,,,N/A
"3,79 tỷ",·32 m²,"La Phù, Hoài Đức",N/A
"4,75 tỷ",·36 m²,"La Phù, Hoài Đức",N/A
4 tỷ,30 m²,"An Khánh, Hoài Đức",3
"5,35 tỷ",35 m²,"Vân Canh, Hoài Đức",4
"4,2 tỷ",32 m²,"La Phù, Hoài Đức",3
150 tỷ,400 m²,"Đống Đa, Hà Nội",N/A
5 tỷ,41 m²,"An Khánh, Hoài Đức",4
"3,95 tỷ",36 m²,"Đông La, Hoài Đức",3
6 tỷ,45 m²,"An Khánh, Hoài Đức",N/A
"4,75 tỷ",45 m²,"Đông La, Hoài Đức",3
"7,3 tỷ",75 m²,"An Khánh, Hoài Đức",5
"4,3 tỷ",·36 m²,"La Phù, Hoài Đức",N/A
"5,35 tỷ",38 m²,"Vân Canh, Hoài Đức",5
Giá thỏa thuận,48 m²,"Vân Côn, Hoài Đức",3
"5,5 tỷ",32 m²,"Vân Canh, Hoài Đức",3
"12,56 tỷ",86 m²,"An Khánh, Hoài Đức",4
Giá thỏa thuận,40 m²,"An Khánh, Hoài Đức",N/A
"3,75 tỷ",35 m²,"An Khánh, Hoài Đức",N/A
"3,65 tỷ",33 m²,"Đông La, Hoài Đức",3
"5,2 tỷ","50,4 m²","Đông La, Hoài Đức",3
"4,8 tỷ",31 m²,"Vân Canh, Hoài Đức",5
4 tỷ,30 m²,"Đông La, Hoài Đức",3
