Giá,Diện tích,Vị trí,Phòng
"5,9 tỷ",28 m²,"Hàng Bồ, Hoàn Kiếm",3
"8,5 tỷ",45 m²,"Phúc Tân, Hoàn Kiếm",4
Giá thỏa thuận,55 m²,"Trần Hưng Đạo, Hoàn Kiếm",3
12 tỷ,"39,5 m²","Hàng Mã, Hoàn Kiếm",2
"15,9 tỷ",55 m²,"Hàng Bài, Hoàn Kiếm",3
"15,9 tỷ",90 m²,"Long Biên, Hà Nội",4
"9,95 tỷ",34 m²,"Trần Hưng Đạo, Hoàn Kiếm",5
13 tỷ,23 m²,"Hàng Trống, Hoàn Kiếm",3
"7,45 tỷ",57 m²,"Chương Dương, Hoàn Kiếm",4
"23,5 tỷ",70 m²,"Hoàn Kiếm, Hà Nội",4
"6,8 tỷ",42 m²,"Phúc Tân, Hoàn Kiếm",4
27 tỷ,60 m²,"Cửa Nam, Hoàn Kiếm",13
"16,5 tỷ",45 m²,"Cửa Đông, Hoàn Kiếm",N/A
"6,9 tỷ",42 m²,"Phúc Tân, Hoàn Kiếm",N/A
13 tỷ,·23 m²,"Hàng Trống, Hoàn Kiếm",N/A
"11,85 tỷ",50 m²,"Chương Dương, Hoàn Kiếm",8
"38,9 tỷ",75 m²,"Cửa Đông, Hoàn Kiếm",4
10 tỷ,33 m²,"Trần Hưng Đạo, Hoàn Kiếm",3
40 tỷ,"66,5 m²","Hàng Bông, Hoàn Kiếm",9
34 tỷ,88 m²,"Cửa Đông, Hoàn Kiếm",N/A
5 tỷ,25 m²,"Trần Hưng Đạo, Hoàn Kiếm",4
11 tỷ,45 m²,"Hàng Mã, Hoàn Kiếm",3
39 tỷ,75 m²,"Cửa Đông, Hoàn Kiếm",N/A
