Giá,Diện tích,Vị trí,Phòng
"14,8 tỷ",68 m²,"Thịnh Liệt, Hoàng Mai",6
"18,5 tỷ","·51,2 m²","Tương Mai, Hoàng Mai",N/A
"8,1 tỷ",39 m²,"Thịnh Liệt, Hoàng Mai",6
,,,N/A
"5,7 tỷ",30 m²,"Lĩnh Nam, Hoàng Mai",3
"5,9 tỷ",35 m²,"Thịnh Liệt, Hoàng Mai",4
"14,5 tỷ",·58 m²,"Yên Sở, Hoàng Mai",N/A
"6,5 tỷ","69,2 m²","Yên Sở, Hoàng Mai",4
"12,9 tỷ",·37 m²,"Lĩnh Nam, Hoàng Mai",N/A
7 tỷ,43 m²,"Hoàng Liệt, Hoàng Mai",4
"6,4 tỷ",31 m²,"Tân Mai, Hoàng Mai",4
"5,9 tỷ",33 m²,"Hoàng Văn Thụ, Hoàng Mai",3
"7,98 tỷ",36 m²,"Lĩnh Nam, Hoàng Mai",4
"7,28 tỷ",35 m²,"Hoàng Văn Thụ, Hoàng Mai",3
"18,2 tỷ",61 m²,"Hoàng Văn Thụ, Hoàng Mai",6
"5,3 tỷ",19 m²,"Thịnh Liệt, Hoàng Mai",N/A
25 tỷ,80 m²,"Tân Mai, Hoàng Mai",5
"14,8 tỷ",48 m²,"Đại Kim, Hoàng Mai",4
11 tỷ,"62,4 m²","Mai Động, Hoàng Mai",7
"17,5 tỷ",120 m²,"Đại Kim, Hoàng Mai",6
"9,8 tỷ",40 m²,"Tân Mai, Hoàng Mai",3
"7,58 tỷ",38 m²,"Mai Động, Hoàng Mai",3
"6,4 tỷ",35 m²,"Hoàng Mai, Hà Nội",4
18 tỷ,60 m²,"Hoàng Liệt, Hoàng Mai",2
"4,2 tỷ",50 m²,"Định Công, Hoàng Mai",N/A
