Giá,Diện tích,Vị trí,Phòng
"11,5 tỷ",64 m²,"Bồ Đề, Long Biên",4
"8,6 tỷ",35 m²,"Ngọc Lâm, Long Biên",3
"5,9 tỷ",45 m²,"Thạch Bàn, Long Biên",3
,,,N/A
"14,2 tỷ",75 m²,·,N/A
7 tỷ,34 m²,"Ngọc Lâm, Long Biên",N/A
"18,8 tỷ",64 m²,"Bồ Đề, Long Biên",3
"15,9 tỷ",90 m²,"Long Biên, Hà Nội",4
"9,8 tỷ",45 m²,"Gia Thụy, Long Biên",3
8 tỷ,35 m²,"Long Biên, Hà Nội",3
5 tỷ,38 m²,"Sài Đồng, Long Biên",3
"12,9 tỷ",55 m²,"Ngọc Thụy, Long Biên",4
"16,5 tỷ",64 m²,"Long Biên, Long Biên",5
"7,45 tỷ","·129,8 m²","Giang Biên, Long Biên",N/A
"8,5 tỷ",·35 m²,"Ngọc Lâm, Long Biên",N/A
"5,9 tỷ",33 m²,"Ngọc Thụy, Long Biên",3
"15,9 tỷ",90 m²,·,4
14 tỷ,58 m²,"Ngọc Thụy, Long Biên",N/A
"16,6 tỷ",75 m²,"Bồ Đề, Long Biên",4
"14,44 tỷ","80,2 m²","Thạch Bàn, Long Biên",N/A
"4,8 tỷ",·40 m²,"Cự Khối, Long Biên",N/A
"10,85 tỷ",43 m²,"Bồ Đề, Long Biên",3
"7,1 tỷ",31 m²,"Long Biên, Long Biên",N/A
"7,6 tỷ",55 m²,"Ngọc Thụy, Long Biên",1
"5,85 tỷ","40,3 m²","Long Biên, Long Biên",4
"7,8 tỷ",45 m²,"Ngọc Thụy, Long Biên",N/A
