Giá,Diện tích,Vị trí,Phòng
"5,5 tỷ",75 m²,"Quang Minh, Mê Linh",3
"2,35 tỷ",40 m²,"Quang Minh, Mê Linh",2
"7,1 tỷ",·222 m²,"Văn Khê, Mê Linh",N/A
"3,7 tỷ",64 m²,"Tiền Phong, Mê Linh",2
"4,2 tỷ",65 m²,"Quang Minh, Mê Linh",3
"36,5 tỷ",156 m²,"Tây Hồ, Hà Nội",5
"3,3 tỷ","·68,8 m²","Kim Hoa, Mê Linh",N/A
150 tỷ,400 m²,"Đống Đa, Hà Nội",N/A
"3,8 tỷ",50 m²,"Quang Minh, Mê Linh",3
Giá thỏa thuận,90 m²,"Kim Hoa, Mê Linh",N/A
4 tỷ,50 m²,"Quang Minh, Mê Linh",4
Giá thỏa thuận,50 m²,"Tiền Phong, Mê Linh",3
"33,88 tỷ",770 m²,"Đại Thịnh, Mê Linh",6
"4,3 tỷ","97,9 m²","Kim Hoa, Mê Linh",N/A
"3,87 tỷ",50 m²,"Quang Minh, Mê Linh",3
"3,7 tỷ",45 m²,"Quang Minh, Mê Linh",3
7 tỷ,76 m²,"Quang Minh, Mê Linh",3
4 tỷ,65 m²,"Quang Minh, Mê Linh",N/A
"3,3 tỷ","68,8 m²","Kim Hoa, Mê Linh",2
"3,7 tỷ",65 m²,"Tiền Phong, Mê Linh",3
"3,7 tỷ",65 m²,"Tiền Phong, Mê Linh",N/A
