Giá,Diện tích,Vị trí,Phòng
4 tỷ,441 m²,"An Mỹ, Mỹ Đức",3
4 tỷ,35 m²,"Thanh Oai, Hà Nội",3
Giá thỏa thuận,77 m²,"Phúc Lâm, Mỹ Đức",N/A
"36,5 tỷ",156 m²,"Tây Hồ, Hà Nội",5
"1,59 tỷ","95,8 m²","Hồng Sơn, Mỹ Đức",N/A
"3,65 tỷ",290 m²,"An Mỹ, Mỹ Đức",4
Giá thỏa thuận,520 m²,"An Phú, Mỹ Đức",3
"1,62 tỷ",307 m²,"Vạn Tín, Mỹ Đức",N/A
"1,64 tỷ",126 m²,"Đồng Tâm, Mỹ Đức",3
"2,92 tỷ",162 m²,"Hồng Sơn, Mỹ Đức",4
"2,85 tỷ",178 m²,"Hồng Sơn, Mỹ Đức",5
Giá thỏa thuận,"167,8 m²","Đồng Tâm, Mỹ Đức",N/A
"2,95 tỷ",104 m²,"Đồng Tâm, Mỹ Đức",N/A
"1,75 tỷ",85 m²,"Mỹ Xuyên, Mỹ Đức",2
