Giá,Diện tích,Vị trí,Phòng
"6,9 tỷ",35 m²,"Mỹ Đình 2, Nam Từ Liêm",9
,,,N/A
Giá thỏa thuận,30 m²,"Mễ Trì, Nam Từ Liêm",3
"12,5 tỷ",55 m²,"Mỹ Đình 2, Nam Từ Liêm",4
"5,78 tỷ",30 m²,"Đại Mỗ, Nam Từ Liêm",3
"5,2 triệu",33 m²,"Mỹ Đình 2, Nam Từ Liêm",7
11 tỷ,·40 m²,"Mễ Trì, Nam Từ Liêm",N/A
"26,25 tỷ",105 m²,"Mễ Trì, Nam Từ Liêm",N/A
Giá thỏa thuận,36 m²,"Đại Mỗ, Nam Từ Liêm",N/A
"31,5 tỷ",130 m²,"Cầu Giấy, Hà Nội",4
"11,9 tỷ",55 m²,"Phương Canh, Nam Từ Liêm",15
"11,7 tỷ",78 m²,"Tây Mỗ, Nam Từ Liêm",3
"9,9 tỷ",50 m²,"Mỹ Đình 1, Nam Từ Liêm",N/A
"34,5 tỷ",185 m²,"Nam Từ Liêm, Hà Nội",8
"4,75 tỷ",30 m²,"Tây Mỗ, Nam Từ Liêm",3
13 tỷ,100 m²,"Phương Canh, Nam Từ Liêm",4
"7,2 tỷ",·39 m²,"Mỹ Đình 1, Nam Từ Liêm",N/A
"37,7 tỷ",118 m²,"Mễ Trì, Nam Từ Liêm",4
"6,3 tỷ",34 m²,"Mỹ Đình 1, Nam Từ Liêm",3
"5,8 tỷ",32 m²,"Đại Mỗ, Nam Từ Liêm",3
"11,5 tỷ",45 m²,"Mỹ Đình 2, Nam Từ Liêm",6
"9,1 tỷ",·35 m²,"Đại Mỗ, Nam Từ Liêm",N/A
"22,5 tỷ",60 m²,·,11
"12,5 tỷ",70 m²,"Xuân Phương, Nam Từ Liêm",11
"11,5 tỷ",78 m²,"Tây Mỗ, Nam Từ Liêm",6
Giá thỏa thuận,55 m²,"Phú Đô, Nam Từ Liêm",16
