Giá,Diện tích,Vị trí,Phòng
4 tỷ,35 m²,"Thanh Oai, Hà Nội",3
"36,5 tỷ",156 m²,"Tây Hồ, Hà Nội",5
10 tỷ,500 m²,"Phúc Tiến, Phú Xuyên",2
"4,35 tỷ",276 m²,"Hồng Thái, Phú Xuyên",2
Giá thỏa thuận,"49,5 m²","Phú Minh, Phú Xuyên",2
Giá thỏa thuận,95 m²,"Phú Xuyên, Phú Xuyên",3
12 tỷ,864 m²,"Văn Hoàng, Phú Xuyên",N/A
Giá thỏa thuận,90 m²,"Phú Túc, Phú Xuyên",N/A
"2,5 tỷ",103 m²,"Vân Từ, Phú Xuyên",N/A
"3,6 tỷ",102 m²,"Phú Minh, Phú Xuyên",5
"3,55 tỷ",100 m²,"Hoàng Long, Phú Xuyên",N/A
"2,23 tỷ",144 m²,"Phúc Tiến, Phú Xuyên",N/A
"3,3 tỷ","416,3 m²","Văn Hoàng, Phú Xuyên",5
"3,2 tỷ",86 m²,"Phú Xuyên, Phú Xuyên",2
