Giá,Diện tích,Vị trí,Phòng
"3,3 tỷ",70 m²,"Gạch, Phúc Thọ",N/A
"5,8 tỷ",475 m²,"Tích Lộc, Phúc Thọ",3
Giá thỏa thuận,73 m²,"Phúc Thọ, Phúc Thọ",N/A
"5,8 tỷ",475 m²,"Tích Lộc, Phúc Thọ",N/A
"36,5 tỷ",156 m²,"Tây Hồ, Hà Nội",5
10 tỷ,100 m²,"Gạch, Phúc Thọ",N/A
"2,75 tỷ",66 m²,"Ngọc Tảo, Phúc Thọ",N/A
"2,6 tỷ",46 m²,"Tam Hiệp, Phúc Thọ",2
150 tỷ,400 m²,"Đống Đa, Hà Nội",N/A
"3,38 tỷ",72 m²,"Gạch, Phúc Thọ",3
Giá thỏa thuận,41 m²,"Tam Thuấn, Phúc Thọ",N/A
"2,84 tỷ",135 m²,"Ngọc Tảo, Phúc Thọ",N/A
11 tỷ,270 m²,"Tích Lộc, Phúc Thọ",N/A
"4,5 tỷ",81 m²,"Hiệp Thuận, Phúc Thọ",6
"4,5 tỷ",100 m²,"Gạch, Phúc Thọ",N/A
"4,8 tỷ",160 m²,"Nam Hà, Phúc Thọ",N/A
"4,68 tỷ",85 m²,"Phúc Thọ, Phúc Thọ",4
"3,84 tỷ",61 m²,"Hiệp Thuận, Phúc Thọ",N/A
"3,78 tỷ",135 m²,"Ngọc Tảo, Phúc Thọ",2
"5,2 tỷ","72,6 m²","Phúc Hòa, Phúc Thọ",6
