Giá,Diện tích,Vị trí,Phòng
"3,1 tỷ",52 m²,"Hưng Đạo, Quốc Oai",4
"3,49 tỷ",51 m²,"Hưng Đạo, Quốc Oai",4
,,,N/A
"4,7 tỷ","117,6 m²","Hưng Đạo, Quốc Oai",3
"4,9 tỷ",·306 m²,"Phú Mãn, Quốc Oai",N/A
"7,2 tỷ","·200,1 m²","Sài Sơn, Quốc Oai",N/A
"7,2 tỷ","200,1 m²","Sài Sơn, Quốc Oai",3
"3,15 tỷ",42 m²,"Hưng Đạo, Quốc Oai",4
"2,75 tỷ",49 m²,"Hưng Đạo, Quốc Oai",N/A
"2,93 tỷ",40 m²,"Hưng Đạo, Quốc Oai",3
"2,75 tỷ",43 m²,"Hưng Đạo, Quốc Oai",4
"3,3 tỷ",40 m²,"Hưng Đạo, Quốc Oai",4
150 tỷ,400 m²,"Đống Đa, Hà Nội",N/A
"4,5 tỷ",·84 m²,"Hưng Đạo, Quốc Oai",N/A
"5,7 tỷ",45 m²,"Quốc Oai, Quốc Oai",5
"3,25 tỷ",52 m²,"Hưng Đạo, Quốc Oai",3
"3,65 tỷ",45 m²,"Hưng Đạo, Quốc Oai",4
"3,65 tỷ",60 m²,"Hưng Đạo, Quốc Oai",3
"3,4 tỷ",35 m²,"Hưng Đạo, Quốc Oai",3
"7,6 tỷ",153 m²,"Sài Sơn, Quốc Oai",N/A
Giá thỏa thuận,"41,7 m²","Quốc Oai, Hà Nội",4
"5,05 tỷ","87,7 m²","Hưng Đạo, Quốc Oai",4
"8,8 tỷ",160 m²,"Hưng Đạo, Quốc Oai",3
"3,73 tỷ","48,5 m²","Hưng Đạo, Quốc Oai",4
"3,75 tỷ",66 m²,"Hưng Đạo, Quốc Oai",5
"4,9 tỷ",306 m²,"Phú Mãn, Quốc Oai",4
