Giá,Diện tích,Vị trí,Phòng
"4,8 tỷ",100 m²,"Trung Sơn Trầm, Sơn Tây",N/A
"6,2 tỷ",150 m²,"Cổ Đông, Sơn Tây",5
Giá thỏa thuận,100 m²,"Thanh Mỹ, Sơn Tây",N/A
Giá thỏa thuận,40 m²,"Ngô Quyền, Sơn Tây",2
"36,5 tỷ",156 m²,"Tây Hồ, Hà Nội",5
150 tỷ,400 m²,"Đống Đa, Hà Nội",N/A
"16,5 tỷ",165 m²,"Trung Hưng, Sơn Tây",4
"13,75 tỷ",1.250 m²,"Sơn Đông, Sơn Tây",2
"7,5 tỷ",80 m²,"Trung Hưng, Sơn Tây",4
Giá thỏa thuận,"120,5 m²","Trung Sơn Trầm, Sơn Tây",N/A
"8,8 tỷ",95 m²,"Trung Hưng, Sơn Tây",3
"5,15 tỷ","470,5 m²","Xuân Khanh, Sơn Tây",4
"4,42 tỷ",276 m²,"Cổ Đông, Sơn Tây",3
"1,65 tỷ","49,2 m²","Sơn Lộc, Sơn Tây",N/A
Giá thỏa thuận,317 m²,"Cổ Đông, Sơn Tây",4
5 tỷ,417 m²,"Trung Sơn Trầm, Sơn Tây",N/A
Giá thỏa thuận,62 m²,"Trung Hưng, Sơn Tây",N/A
"2,2 tỷ","87,6 m²","Trung Sơn Trầm, Sơn Tây",N/A
"4,9 tỷ","189,2 m²","Cổ Đông, Sơn Tây",2
"7,2 tỷ",119 m²,"Thanh Mỹ, Sơn Tây",N/A
"28,44 tỷ",158 m²,"Sơn Lộc, Sơn Tây",N/A
"6,2 tỷ",163 m²,"Sơn Lộc, Sơn Tây",6
