Giá,Diện tích,Vị trí,Phòng
"7,4 tỷ",30 m²,"Xuân La, Tây Hồ",3
"18,2 tỷ",68 m²,"Tứ Liên, Tây Hồ",4
,,,N/A
"19,5 tỷ",·90 m²,"Nhật Tân, Tây Hồ",N/A
"15,9 tỷ",90 m²,"Long Biên, Hà Nội",4
9 tỷ,31 m²,"Bưởi, Tây Hồ",8
21 tỷ,53 m²,"Xuân La, Tây Hồ",N/A
"10,8 tỷ",40 m²,"Nhật Tân, Tây Hồ",N/A
"7,4 tỷ",43 m²,"Xuân La, Tây Hồ",6
"7,75 tỷ",·38 m²,"Yên Phụ, Tây Hồ",N/A
"36,5 tỷ",156 m²,"Bưởi, Tây Hồ",5
"27,5 tỷ",79 m²,"Xuân La, Tây Hồ",4
"11,9 tỷ",45 m²,"Xuân La, Tây Hồ",3
"18,5 tỷ","64,5 m²","Tứ Liên, Tây Hồ",3
"27,5 tỷ",183 m²,"Phú Thượng, Tây Hồ",4
"11,5 tỷ",40 m²,"Tây Hồ, Hà Nội",6
"8,1 tỷ",45 m²,"Phú Thượng, Tây Hồ",4
"9,29 tỷ",45 m²,"Xuân La, Tây Hồ",5
"10,8 tỷ",42 m²,"Thụy Khuê, Tây Hồ",2
"12,8 tỷ",84 m²,"Nhật Tân, Tây Hồ",4
"16,3 tỷ",63 m²,"Phú Thượng, Tây Hồ",7
"34,3 tỷ",·123 m²,"Phú Thượng, Tây Hồ",N/A
8 tỷ,46 m²,"Quảng An, Tây Hồ",N/A
"6,5 tỷ",40 m²,"Phú Thượng, Tây Hồ",3
110 tỷ,346 m²,"Xuân La, Tây Hồ",48
"34,29 tỷ",122 m²,"Phú Thượng, Tây Hồ",N/A
