Giá,Diện tích,Vị trí,Phòng
"3,62 tỷ",207 m²,"Đại Đồng, Thạch Thất",1
31 tỷ,1.299 m²,"Bình Yên, Thạch Thất",N/A
Giá thỏa thuận,260 m²,"Tiến Xuân, Thạch Thất",4
"4,3 tỷ","73,5 m²","Tân Xã, Thạch Thất",N/A
"4,3 tỷ","·73,5 m²","Tân Xã, Thạch Thất",N/A
"36,5 tỷ",156 m²,"Tây Hồ, Hà Nội",5
"2,6 tỷ","62,4 m²","Cần Kiệm, Thạch Thất",N/A
Giá thỏa thuận,106 m²,"Tân Xã, Thạch Thất",4
150 tỷ,400 m²,"Đống Đa, Hà Nội",N/A
30 tỷ,300 m²,"Tân Xã, Thạch Thất",63
"7,5 tỷ",92 m²,"Tân Xã, Thạch Thất",N/A
"3,02 tỷ",151 m²,"Bình Yên, Thạch Thất",N/A
"6,23 tỷ",577 m²,"Yên Bình, Thạch Thất",N/A
11 tỷ,190 m²,"Tân Xã, Thạch Thất",N/A
"2,5 tỷ",68 m²,"Hạ Bằng, Thạch Thất",N/A
"4,2 tỷ","92,2 m²","Bình Yên, Thạch Thất",N/A
4 tỷ,"73,5 m²","Tân Xã, Thạch Thất",N/A
Giá thỏa thuận,80 m²,"Tân Xã, Thạch Thất",17
"4,5 tỷ","92,2 m²","Bình Yên, Thạch Thất",N/A
9 tỷ,"359,1 m²","Tiến Xuân, Thạch Thất",4
"4,95 tỷ",100 m²,"Tân Xã, Thạch Thất",6
24 tỷ,229 m²,"Tân Xã, Thạch Thất",52
