Giá,Diện tích,Vị trí,Phòng
3 tỷ,33 m²,"Bích Hòa, Thanh Oai",4
"2,65 tỷ",36 m²,"Bích Hòa, Thanh Oai",3
4 tỷ,35 m²,"Thanh Oai, Hà Nội",3
"36,5 tỷ",156 m²,"Tây Hồ, Hà Nội",5
"3,4 tỷ",34 m²,"Cự Khê, Thanh Oai",4
3 tỷ,40 m²,"Cao Viên, Thanh Oai",4
"4,6 tỷ",42 m²,"Cao Viên, Thanh Oai",4
"3,2 tỷ",44 m²,"Bình Minh, Thanh Oai",4
"3,3 tỷ",44 m²,"Bình Minh, Thanh Oai",5
"11,9 tỷ",172 m²,"Tam Hưng, Thanh Oai",N/A
"3,25 tỷ",45 m²,"Bích Hòa, Thanh Oai",4
"3,5 tỷ",36 m²,"Cự Khê, Thanh Oai",N/A
"2,5 tỷ",32 m²,"Cao Viên, Thanh Oai",3
"3,9 tỷ",·39 m²,"Bích Hòa, Thanh Oai",N/A
"3,4 tỷ",33 m²,"Cự Khê, Thanh Oai",4
"5,5 tỷ",31 m²,"Cự Khê, Thanh Oai",4
"2,65 tỷ",47 m²,"Cao Viên, Thanh Oai",3
3 tỷ,"30,1 m²","Bích Hòa, Thanh Oai",N/A
"2,89 tỷ",32 m²,"Bích Hòa, Thanh Oai",3
"2,45 tỷ",35 m²,"Cao Viên, Thanh Oai",4
"2,45 tỷ",33 m²,"Cao Viên, Thanh Oai",3
3 tỷ,"·30,1 m²","Bích Hòa, Thanh Oai",N/A
"3,48 tỷ",32 m²,"Bích Hòa, Thanh Oai",4
