Giá,Diện tích,Vị trí,Phòng
"4,63 tỷ",30 m²,"Thanh Liệt, Thanh Trì",N/A
Giá thỏa thuận,50 m²,"Tả Thanh Oai, Thanh Trì",N/A
"5,85 tỷ",38 m²,"Văn Điển, Thanh Trì",4
Giá thỏa thuận,32 m²,"Tân Triều, Thanh Trì",4
"6,5 tỷ",90 m²,"Vĩnh Quỳnh, Thanh Trì",2
"4,4 tỷ",28 m²,"Hữu Hòa, Thanh Trì",3
"4,09 tỷ",40 m²,"Ngọc Hồi, Thanh Trì",4
"7,2 tỷ",43 m²,"Thanh Trì, Hà Nội",N/A
"5,5 tỷ",95 m²,"Liên Ninh, Thanh Trì",N/A
17 tỷ,68 m²,"Tân Triều, Thanh Trì",15
"4,85 tỷ",42 m²,"Vĩnh Quỳnh, Thanh Trì",5
"5,5 tỷ",36 m²,"Văn Điển, Thanh Trì",4
"19,8 tỷ",74 m²,·,24
"4,05 tỷ",38 m²,"Văn Điển, Thanh Trì",4
"7,55 tỷ",84 m²,"Hữu Hòa, Thanh Trì",3
"7,1 tỷ","48,8 m²","Tứ Hiệp, Thanh Trì",5
"7,85 tỷ",41 m²,"Thanh Trì, Hà Nội",4
"7,4 tỷ",55 m²,"Tứ Hiệp, Thanh Trì",4
"5,89 tỷ",47 m²,"Tam Hiệp, Thanh Trì",4
"5,75 tỷ",48 m²,"Vĩnh Quỳnh, Thanh Trì",5
"6,15 tỷ",41 m²,"Vĩnh Quỳnh, Thanh Trì",4
"4,4 tỷ",·28 m²,"Hữu Hòa, Thanh Trì",N/A
"12,25 tỷ",65 m²,"Văn Điển, Thanh Trì",8
