Giá,Diện tích,Vị trí,Phòng
Giá thỏa thuận,"50,4 m²","Nhân Chính, Thanh Xuân",5
"12,7 tỷ",41 m²,"Hạ Đình, Thanh Xuân",6
"12,65 tỷ",43 m²,"Nhân Chính, Thanh Xuân",N/A
"11,2 tỷ",84 m²,"Khương Đình, Thanh Xuân",5
"13,85 tỷ","75,7 m²","Nhân Chính, Thanh Xuân",N/A
,,,N/A
"12,8 tỷ",55 m²,"Thượng Đình, Thanh Xuân",4
"6,6 tỷ",·30 m²,"Nhân Chính, Thanh Xuân",N/A
"8,85 tỷ",40 m²,"Hạ Đình, Thanh Xuân",4
16 tỷ,48 m²,"Khương Đình, Thanh Xuân",3
"10,7 tỷ","50,5 m²","Thanh Xuân, Hà Nội",5
"11,15 triệu",50 m²,"Hạ Đình, Thanh Xuân",4
"5,7 tỷ",27 m²,"Khương Trung, Thanh Xuân",3
7 tỷ,46 m²,"Khương Trung, Thanh Xuân",4
"11,2 tỷ",50 m²,"Khương Đình, Thanh Xuân",5
"21,5 tỷ",60 m²,"Nhân Chính, Thanh Xuân",5
"12,7 tỷ",50 m²,"Khương Mai, Thanh Xuân",5
"12,5 tỷ",·52 m²,"Khương Mai, Thanh Xuân",N/A
"6,8 tỷ",38 m²,"Nhân Chính, Thanh Xuân",4
"12,2 tỷ",46 m²,"Nhân Chính, Thanh Xuân",N/A
20 tỷ,48 m²,"Thanh Xuân Trung, Thanh Xuân",N/A
"18,5 tỷ",118 m²,"Nhân Chính, Thanh Xuân",5
"18,4 tỷ",·48 m²,"Khương Mai, Thanh Xuân",N/A
43 tỷ,106 m²,"Thượng Đình, Thanh Xuân",5
"8,7 tỷ",54 m²,"Hà Đông, Hà Nội",1
"16,7 tỷ",45 m²,"Khương Mai, Thanh Xuân",4
