Giá,Diện tích,Vị trí,Phòng
"5,6 tỷ","86,6 m²","Nhị Khê, Thường Tín",N/A
"1,97 tỷ",55 m²,"Chương Dương, Thường Tín",N/A
"36,5 tỷ",156 m²,"Tây Hồ, Hà Nội",5
"14,5 tỷ",82 m²,"Thường Tín, Thường Tín",6
150 tỷ,400 m²,"Đống Đa, Hà Nội",N/A
"4,1 tỷ",42 m²,"Nhị Khê, Thường Tín",4
"2,72 tỷ",160 m²,"Ninh Sở, Thường Tín",2
"3,3 tỷ",90 m²,"Chương Dương, Thường Tín",N/A
"8,2 tỷ",132 m²,"Ninh Sở, Thường Tín",N/A
"4,3 tỷ","43,3 m²","Duyên Thái, Thường Tín",N/A
8 tỷ,180 m²,"Thường Tín, Thường Tín",2
"4,99 tỷ","52,5 m²","Nhị Khê, Thường Tín",2
"2,8 tỷ",60 m²,"Chương Dương, Thường Tín",N/A
"7,1 tỷ",68 m²,"Thường Tín, Thường Tín",4
Giá thỏa thuận,120 m²,"Duyên Thái, Thường Tín",4
"6,1 tỷ",60 m²,"Duyên Thái, Thường Tín",4
"5,5 tỷ",44 m²,"Nhị Khê, Thường Tín",5
"12,44 tỷ","226,1 m²","Vân Tảo, Thường Tín",N/A
"7,74 tỷ",180 m²,"Văn Bình, Thường Tín",N/A
"7,8 tỷ",180 m²,"Văn Bình, Thường Tín",1
"6,2 tỷ",91 m²,"Ninh Sở, Thường Tín",8
12 tỷ,103 m²,"Duyên Thái, Thường Tín",N/A
