Tiêu đề,Giá,Diện tích,Vị trí,Phòng
Chính chủ cần bán nhà số 10 ngõ 216 Cổ Linh,"24,5 tỷ",97 m²,"Long Biên, Long Biên",2
"Chính chủ bán nhà số nhà 8 ngõ 541/16 Bát Khối, tổ 8 Thạch Bàn, Long Biên, khu vực đang phát triển","7,25 tỷ",30 m²,"Thạch Bàn, Long Biên",N/A
"Chính chủ bán gấp nhà 5 tầng, DT 50m2, MT 4,2m, Nguyễn Văn Cừ thông Ngọc lâm, ô tô vào nhà","11,3 tỷ",50 m²,"Ngọc Thụy, Long Biên",5
"Bán nhà mới cứng Hoàng Như Tiếp, Long Biên, thang máy, ngõ thông DT: 47m2, 6 tầng, chỉ 10 tỷ",10 tỷ,47 m²,"Bồ Đề, Long Biên",3
Nhà đẹp Ngọc Lâm - Nguyễn Văn Cừ - Long Biên 45m2 6 tầng thang máy gara ô tô,"8,9 tỷ",45 m²,"Ngọc Lâm, Long Biên",4
"Bán Nhà riêng tại Thạch Bàn, 4,8 tỷ, 33m2, giá cực chất chỉ với","4,8 tỷ",33 m²,"Thạch Bàn, Long Biên",3
"Chính chủ bán nhà Phố Sài Đồng, 1 nhà ra phố ẩm thực oto tránh dừng đỗ ngày đêm, sát hồ oto đỗ cửa","7,5 tỷ",34 m²,"Sài Đồng, Long Biên",3
"NHÀ ĐẸP CHÍNH CHỦ 5 TẦNG DT:88M2 FULL NỘI THẤT THANG MÁY NGUYỄN VĂN CỪ, LONG BIÊN, HÀ NỘI, 19,6 TỶ","19,6 tỷ",88 m²,·,6
"Bán nhà phố tại Tổ 16, Thạch Bàn, 180 triệu/m2, 80.2m2, giá siêu hời, chính chủ","14,44 tỷ","80,2 m²","Thạch Bàn, Long Biên",N/A
"BÁN NHANH Lô Đất Tặng Căn Nhà Xây Kiên Cố 3 Tầng Tại Phường Bồ Đề, Long Biên, Hà Nội","11,5 tỷ",64 m²,"Bồ Đề, Long Biên",4
"Bán nhà Phúc Lợi - 10m ra ô tô, trước nhà thoáng vĩnh viễn, giá 4. X tỷ","4,95 tỷ",30 m²,"Long Biên, Hà Nội",3
"Bán nhà phố - 6 tầng - DT 47m2 hướng Tây Nam, đã có sổ đỏ","8,95 tỷ",47 m²,"Long Biên, Hà Nội",4
"Bán nhà riêng 45/50m2 tại Phúc Lợi Long Biên Hà Nội, ba oto tránh trước nhà","13,8 tỷ",45 m²,"Phúc Lợi, Long Biên",4
"Chính chủ nhờ bán, nhà đẹp Phúc Lợi, kinh doanh, vỉa hè, thang máy, dt 91.6m2, tặng full nội thất","22,9 tỷ","91,6 m²","Phúc Lợi, Long Biên",5
"Chính chủ, bán nhà Phố Trạm, phường Thạch Bàn, Quận Long Biên, DT 36m2 x 5tầng, MT 6m, giá 5,65 tỷ","5,65 tỷ",36 m²,"Thạch Bàn, Long Biên",5
"Siêu siêu rẻ, chính chủ, bán gấp nhà 4 tầng, 55m2 5 phòng ngủ, sát phố Hồng Tiến - Ngọc Lâm giá 5t7","5,7 tỷ",55 m²,"Ngọc Lâm, Long Biên",5
"Bán nhà phố Hồng Tiến, DT 35 m2 * MT 6m * 5 tầng thang máy, chỉ 10m ra mặt phố cho thuê 10tr",7 tỷ,34 m²,"Ngọc Lâm, Long Biên",N/A
Nhà đẹp Phố Trạm 60m2 7 tầng gara ô tô thang máy kinh doanh ở ngay,Giá thỏa thuận,60 m²,"Long Biên, Long Biên",4
"Bán nhà Nguyễn Văn Cừ 55m2, 4 tầng, mặt tiền 4.5m Chỉ 5.75 tỷ! 0986 073 ***","5,75 tỷ",55 m²,"Ngọc Lâm, Long Biên",4
Chính chủ - bán nhà Tư Đình 40.3m2 - 3 mặt thoáng - full nội thất mới 100%. Liên hệ 0904 211 ***,"5,85 tỷ","40,3 m²","Long Biên, Long Biên",4
"Chính chủ bán nhà 6 tầng tại phường Bát Khối phường Long Biên giá chỉ 7,1 tỷ","7,1 tỷ",31 m²,"Long Biên, Long Biên",N/A
Đàm Quang Trung Long Biên Nhà mới thiết kế hiện đại - gara ô tô - thang máy - full nội thất,"10,6 tỷ",43 m²,"Long Biên, Long Biên",4
